SKU,IMAGE,PRICE,TITLE,HANDLE,CPU,GPU,RAM,STORAGE,CASE,COMPARE PRICE,TYPE,CATEGORY,score_gaming_1080p,score_gaming_1440p,score_gaming_4k,score_creative_photo_video,score_3d_cad,score_software_dev,score_office_docs,score_esports,score_AAA_story,score_adobe_suite,score_blender,persona_tags,style_tags,details_graphics,details_processor,details_ram,details_storage,details_style,details_keySpecs
MOCK001,https://example.com/img1.png,1200,The Starter,https://example.com/pc/starter,AMD Ryzen 5 5600X,NVIDIA RTX 3060,16GB DDR4 3200MHz,1TB NVMe SSD,Mid-Tower Black,,1300,Desktop,RTS,8,6,3,6,5,7,10,9,7,6,5,"[Budget Gamer, Student]","[Minimalist, Blackout]","The RTX 3060 is a solid choice for 1080p gaming, delivering smooth frame rates in most modern titles.","The Ryzen 5 5600X is a great value CPU with 6 cores, perfect for gaming and multitasking.","16GB of RAM is the sweet spot for gaming and general use, ensuring a smooth experience.","A 1TB NVMe SSD provides fast load times and plenty of space for your favorite games.","A classic black mid-tower case with a clean aesthetic and good airflow.","CPU: AMD Ryzen 5 5600X, GPU: NVIDIA RTX 3060, RAM: 16GB DDR4"
MOCK002,https://example.com/img2.png,1800,The Pro Gamer,https://example.com/pc/progamer,Intel Core i5-13600K,NVIDIA RTX 4060 Ti,32GB DDR5 5600MHz,2TB NVMe SSD,White RGB Tower,,2000,Desktop,RTS,10,8,5,8,7,8,10,10,8,8,7,"[Competitive Gamer, Streamer]","[RGB Showcase, White Build]","The RTX 4060 Ti is a 1440p powerhouse, offering high frame rates and excellent ray tracing performance.","The Intel Core i5-13600K is a fantastic gaming CPU with a mix of performance and efficiency cores.","32GB of fast DDR5 RAM is perfect for streaming and gaming simultaneously.","A 2TB NVMe SSD gives you plenty of space for a large game library and fast loading.","A stunning white tower with tempered glass and customizable RGB lighting.","CPU: Intel Core i5-13600K, GPU: NVIDIA RTX 4060 Ti, RAM: 32GB DDR5"
MOCK003,https://example.com/img3.png,2500,The Creator,https://example.com/pc/creator,AMD Ryzen 7 7700X,NVIDIA RTX 4070,32GB DDR5 6000MHz,2TB NVMe SSD,Minimalist Silver,,2700,Desktop,Custom,10,9,6,9,8,9,10,10,9,9,8,"[Creative Professional, 1440p Gamer]","[Minimalist, Premium]","The RTX 4070 is ideal for both gaming and creative work, with strong performance in rendering and video editing.","The Ryzen 7 7700X is an 8-core CPU that excels at multithreaded creative applications.","32GB of high-speed DDR5 RAM is essential for smooth performance in Adobe Suite and Blender.","A 2TB NVMe SSD provides ample space for large project files and fast asset loading.","A sleek silver case with a minimalist design, perfect for a professional workspace.","CPU: AMD Ryzen 7 7700X, GPU: NVIDIA RTX 4070, RAM: 32GB DDR5"
MOCK004,https://example.com/img4.png,3500,The Enthusiast,https://example.com/pc/enthusiast,Intel Core i7-14700K,NVIDIA RTX 4080,64GB DDR5 6000MHz,4TB NVMe SSD,Full-Tower RGB,,3800,Desktop,Custom,10,10,8,10,9,10,10,10,10,10,9,"[4K Gamer, Power User]","[RGB Showcase, Water Cooled]","The RTX 4080 is a beast for 4K gaming, delivering incredible performance and stunning visuals.","The Core i7-14700K is a top-tier CPU for gaming and productivity, with plenty of cores for any task.","64GB of DDR5 RAM is perfect for heavy multitasking and future-proofing your system.","A massive 4TB NVMe SSD means you'll never have to worry about storage space again.","A full-tower case with a custom water cooling loop and extensive RGB lighting.","CPU: Intel Core i7-14700K, GPU: NVIDIA RTX 4080, RAM: 64GB DDR5"
MOCK005,https://example.com/img5.png,900,The Office Pro,https://example.com/pc/officepro,Intel Core i5-12400,Integrated Graphics,16GB DDR4 3200MHz,512GB NVMe SSD,Small Form Factor,,1000,Desktop,RTS,2,1,1,4,3,6,10,3,2,4,3,"[Business Professional, Home Office]","[Compact, Minimalist]","Integrated graphics are perfect for office tasks, keeping the system cool and quiet.","The Core i5-12400 is an efficient CPU that's great for all your office and productivity needs.","16GB of RAM is plenty for multitasking with office applications and web browsing.","A 512GB NVMe SSD ensures your system and applications load in a snap.","A small form factor case that fits perfectly in any office environment.","CPU: Intel Core i5-12400, GPU: Integrated Graphics, RAM: 16GB DDR4"
MOCK006,https://example.com/img6.png,1500,The Traveler,https://example.com/pc/traveler,AMD Ryzen 7 7840HS,NVIDIA RTX 4050 Laptop,16GB DDR5 5600MHz,1TB NVMe SSD,15"" Laptop,,1700,Laptop,RTS,8,6,3,7,6,8,10,8,7,7,6,"[Student, On-the-Go Gamer]","[Portable, Lightweight]","The RTX 4050 Laptop GPU is great for 1080p gaming on the go.","The Ryzen 7 7840HS is an efficient and powerful mobile CPU.","16GB of DDR5 RAM is perfect for gaming and productivity on a laptop.","A 1TB NVMe SSD provides fast storage for all your games and files.","A thin and light 15\" laptop that's easy to carry around.","CPU: AMD Ryzen 7 7840HS, GPU: NVIDIA RTX 4050 Laptop, RAM: 16GB DDR5"
MOCK007,https://example.com/img7.png,2200,The Mobile Creator,https://example.com/pc/mobilecreator,Intel Core i7-13700H,NVIDIA RTX 4060 Laptop,32GB DDR5 5200MHz,2TB NVMe SSD,16"" Laptop,,2500,Laptop,Custom,9,7,4,9,8,9,10,9,8,9,8,"[Creative Professional, Mobile Gamer]","[Portable Powerhouse]","The RTX 4060 Laptop GPU is great for video editing and 1080p/1440p gaming.","The Core i7-13700H is a powerful mobile CPU for creative workloads.","32GB of DDR5 RAM is ideal for demanding creative applications on a laptop.","A 2TB NVMe SSD provides plenty of fast storage for your creative projects.","A 16\" laptop with a high-resolution screen and premium build quality.","CPU: Intel Core i7-13700H, GPU: NVIDIA RTX 4060 Laptop, RAM: 32GB DDR5"
MOCK008,https://example.com/img8.png,4000,The Ultimate Laptop,https://example.com/pc/ultimatelaptop,AMD Ryzen 9 7945HX,NVIDIA RTX 4090 Laptop,64GB DDR5 5200MHz,4TB NVMe SSD,17"" Laptop,,4500,Laptop,Custom,10,10,8,10,9,10,10,10,10,10,9,"[No-Compromise Mobile Gamer, Power User]","[Desktop Replacement]","The RTX 4090 Laptop GPU is the most powerful mobile GPU you can get.","The Ryzen 9 7945HX is a desktop-class CPU in a mobile form factor.","64GB of DDR5 RAM for extreme multitasking and future-proofing.","A massive 4TB of NVMe storage for all your games and files.","A 17\" laptop with a high-refresh-rate display and top-of-the-line components.","CPU: AMD Ryzen 9 7945HX, GPU: NVIDIA RTX 4090 Laptop, RAM: 64GB DDR5"
MOCK009,https://example.com/img9.png,1600,The Esports Champion,https://example.com/pc/esports,AMD Ryzen 5 7600,NVIDIA RTX 4060,16GB DDR5 6000MHz,1TB NVMe SSD,Compact RGB Case,,1700,Desktop,RTS,10,7,4,7,6,8,10,10,7,7,6,"[Competitive Gamer, Esports Player]","[Compact, High Airflow, RGB]","The RTX 4060 is perfect for high-refresh-rate 1080p gaming in esports titles.","The Ryzen 5 7600 offers fantastic gaming performance for the price.","16GB of fast DDR5 RAM is all you need for competitive gaming.","A 1TB NVMe SSD ensures your games load quickly so you can get into the action.","A compact case with great airflow and subtle RGB lighting.","CPU: AMD Ryzen 5 7600, GPU: NVIDIA RTX 4060, RAM: 16GB DDR5"
MOCK010,https://example.com/img10.png,3000,The 4K Dream,https://example.com/pc/4kdream,AMD Ryzen 7 7800X3D,NVIDIA RTX 4070 Ti Super,32GB DDR5 6000MHz,2TB NVMe SSD,Premium Mid-Tower,,3300,Desktop,Custom,10,10,8,9,8,9,10,10,10,9,8,"[4K Gamer, Enthusiast]","[Premium, Minimalist]","The RTX 4070 Ti Super is a fantastic GPU for 4K gaming, offering a great balance of price and performance.","The Ryzen 7 7800X3D is one of the best gaming CPUs on the market, thanks to its 3D V-Cache.","32GB of fast DDR5 RAM is perfect for modern AAA games at 4K.","A 2TB NVMe SSD provides plenty of space for large 4K game installs.","A premium mid-tower case with a clean design and excellent build quality.","CPU: AMD Ryzen 7 7800X3D, GPU: NVIDIA RTX 4070 Ti Super, RAM: 32GB DDR5"
